callsign,count,mean,std,min,max
EFW7PX,9,1671.7777777777778,572.9811903059684,1147.0,2793.0
EZY18MG,9,1337.7777777777778,399.79612860112144,990.0,2324.0
EZY18KY,9,1177.111111111111,122.33912338704701,1053.0,1346.0
EZY34PD,9,1697.7777777777778,448.7306479887957,1126.0,2638.0
CXI9HP,9,1685.6666666666667,399.59354349138323,1322.0,2502.0
EZY38TK,9,1998.6666666666667,406.7148878514284,1380.0,2622.0
EZY8610,9,1772.0,439.1158730904634,1079.0,2206.0
EZY85LB,9,1624.2222222222222,693.3946887916322,1022.0,3304.0
EZY46DY,9,1465.6666666666667,408.2832962539614,1116.0,2401.0
EZY8594,9,1536.6666666666667,463.24588503299196,1205.0,2651.0
TOM6ND,9,1758.111111111111,417.68841390576205,1233.0,2331.0
EZY15MP,9,1830.4444444444443,438.5544752682131,1181.0,2630.0
CAI95PE,9,2043.3333333333333,445.05308672112363,1372.0,2570.0
EZY52TU,9,1261.5555555555557,221.6941085770612,1057.0,1785.0
TUA427,9,1997.4444444444443,350.7242902591404,1443.0,2439.0
EZY48WQ,9,1370.888888888889,350.62424489916714,974.0,2178.0
TOM9GK,9,1621.0,391.458171456415,1069.0,2125.0
TOM9HG,9,1495.0,202.58825237411963,1222.0,1923.0
EZS95LQ,9,1545.111111111111,364.8973980602097,1075.0,2161.0
TOM6TA,9,1662.5555555555557,378.34610844804223,1137.0,2299.0
EZY24BE,8,1594.25,265.65216247674596,1150.0,1943.0
EJU8532,8,1909.75,437.47710144156605,1333.0,2887.0
TOM3XL,8,1164.5,165.3844007154242,895.0,1392.0
EZY23GZ,8,1372.625,153.80315573578363,1158.0,1536.0
EZY6562,8,1340.375,171.64160126762476,1105.0,1613.0
ENT404,8,1353.125,125.3742255352807,1182.0,1521.0
TOM2JW,8,1412.375,461.0528130578659,1033.0,2384.0
EZY28NF,8,1858.25,525.8024479647411,1345.0,2607.0
TOM2HB,8,1237.0,88.58248778882393,1103.0,1405.0
EZY24EV,8,1230.375,87.03683538758585,1125.0,1375.0
EZY24BN,8,1984.25,392.1926458114321,1465.0,2353.0
TOM2PM,8,1642.875,365.0868536585311,1232.0,2369.0
EZY6586,8,1473.625,337.8376353474297,1001.0,1861.0
UBD115,8,1674.5,485.95502437394936,1031.0,2542.0
EZY6592,8,1157.125,125.37764382627618,1052.0,1393.0
EJU8538,8,1273.125,113.22599083249392,1165.0,1482.0
TOM2K,8,1515.5,376.68933770795417,979.0,2150.0
EJU8542,8,1846.75,357.795931462934,1331.0,2484.0
NOZ14X,8,1558.375,376.07101817912763,971.0,2016.0
ENT448,8,1405.75,431.2254133778031,1055.0,2282.0
UBT778,8,1591.0,267.64582140262473,1194.0,1950.0
NOZ1312,8,1726.125,450.9911109355229,1137.0,2561.0
TOM90E,8,1603.75,440.0340084259722,1179.0,2466.0
TOM35T,8,1801.25,572.2978120823858,1194.0,2553.0
ENT438,8,1473.125,186.58849872685843,1218.0,1741.0
TOM6BD,8,1629.25,389.41412036912214,1153.0,2344.0
EZY45XD,8,1262.875,214.08372027250059,1024.0,1609.0
TOM3AB,8,1125.5,136.09345528506714,931.0,1324.0
EZY42TR,8,1328.5,326.9967234436106,1112.0,2110.0
EZY6306,8,1342.625,154.03240614512626,1026.0,1581.0
EZY37LB,8,1170.125,75.74475465101763,1064.0,1311.0
TOM29B,8,1776.75,305.4260490340852,1445.0,2345.0
EZY14HN,8,1553.625,479.6659365790797,1083.0,2389.0
NSZ2770,8,1867.625,496.84632217330835,1240.0,2973.0
ENT430,8,1455.375,485.96970437613555,1108.0,2563.0
TOM3GX,8,1351.0,138.06830607658353,1211.0,1641.0
TOM3KB,8,1466.5,162.89435665047282,1214.0,1733.0
TOM8JB,8,2057.125,425.72104800477706,1342.0,2579.0
EZY62TU,8,1377.0,458.993930865571,1058.0,2462.0
EZY35HV,8,1139.375,114.13017317331742,965.0,1320.0
TOM039,8,1609.625,329.96057664947966,1196.0,2175.0
VLG5KB,8,1896.375,384.48256044418224,1311.0,2513.0
TOM6VA,8,1861.375,678.4006270002156,1163.0,3289.0
TOM22E,8,1628.375,317.1646429132442,1242.0,2134.0
EZY91CL,8,1190.0,200.45092024875174,1024.0,1646.0
EFW96J,8,1268.75,193.69324053402437,1047.0,1555.0
TOM259,8,1392.125,144.7287487484284,1160.0,1586.0
TOM55M,8,1191.5,64.08922352025004,1106.0,1270.0
TOM54J,8,1150.875,166.3322299324028,968.0,1502.0
EZY92YK,8,1509.375,308.45001331542477,1125.0,1947.0
TOM1EK,8,1358.875,376.9939133650379,1079.0,2233.0
TOM771,8,1030.0,118.57728040637224,860.0,1200.0
TOM783,8,1396.625,579.1370273334036,1026.0,2809.0
EJU34HL,8,1502.875,330.5045655617224,1143.0,2159.0
EFW4TS,8,1231.5,218.12709270383763,984.0,1682.0
TOM533,8,1740.5,486.4753701003636,1261.0,2677.0
TOM11J,8,1692.25,459.5441063861941,1077.0,2659.0
TOM59A,8,1485.5,396.9742704868559,1070.0,2087.0
TOM1ET,8,1667.0,524.0708785214895,1179.0,2678.0
TOM51K,8,1474.5,243.52236623592268,1217.0,1846.0
TOM21X,8,1349.375,283.47080348524685,999.0,1931.0
TOM6AM,8,1161.0,95.74818163137243,1034.0,1306.0
TOM6CD,8,1069.75,173.31371225942524,814.0,1341.0
TOM6CG,8,1148.75,335.5561481651448,898.0,1952.0
EFW7CD,8,1520.25,289.4145568458603,1029.0,1940.0
TOM65L,8,1725.625,466.7887064064119,1338.0,2585.0
EZY9003,8,1896.0,456.88135377641686,1248.0,2424.0
TOM643,8,1332.625,288.3103176886223,1084.0,1960.0
TOM1FG,8,1411.75,345.3212789769633,987.0,2009.0
EFW7ZP,8,1443.5,288.6124440441591,1075.0,1972.0
EFW8633,8,1415.625,403.94940896107266,980.0,2272.0
EFW93D,8,1204.125,120.08144557519523,1051.0,1420.0
TOM611,8,1151.125,129.85424521362407,904.0,1355.0
TOM5HL,8,1152.75,79.1792721793851,1021.0,1269.0
TOM5GT,8,1556.375,349.0517511773863,1114.0,1996.0
TOM093,8,1502.125,237.73060233321723,1237.0,1922.0
TOM11T,8,1421.75,287.77558220649246,1076.0,2020.0
TOM7FC,8,1549.875,348.31571782753974,1048.0,2007.0
TOM7PT,8,1804.0,675.6340937011902,1101.0,2985.0
TOM443,8,1544.625,364.01881328932905,1070.0,2104.0
TOM037,8,1626.375,343.42141438346977,1227.0,2220.0
TOM465,8,1307.5,469.95744488198073,1037.0,2461.0
EZY18ZJ,8,1614.625,464.78287941790626,1049.0,2436.0
EZY75TP,8,1321.0,279.4295208864968,1087.0,1876.0
TOM053,8,1573.5,498.6816906318384,1101.0,2562.0
EZY76BE,8,1620.875,336.32018651449226,1251.0,2116.0
EZY76PH,8,1233.875,266.5651555302327,925.0,1646.0
CAI1GG,8,1548.0,339.7684085205266,1148.0,2129.0
TOM863,8,1279.625,132.76180334934978,1012.0,1416.0
EZY79ZY,8,1612.375,595.4486753700943,1051.0,2976.0
TOM85M,8,1170.875,137.17292267166184,989.0,1377.0
TOM057,8,1347.75,216.89875847632558,1040.0,1679.0
TOM7WB,8,1317.875,97.47737832807306,1204.0,1467.0
EZY21HY,8,1469.5,330.94712568626426,1121.0,2066.0
EZY82DR,8,1691.125,368.90124017140414,1154.0,2294.0
EZY95CR,8,1209.375,200.2683467607543,898.0,1515.0
EFW5CV,8,1695.375,306.10546151845864,1340.0,2278.0
EZY8364,8,1584.125,429.4922043197392,1282.0,2560.0
TOM50V,8,1971.125,413.265890715132,1521.0,2607.0
TOM4LY,8,1517.5,300.63314141040024,1236.0,2151.0
EZY8250,8,1642.625,417.7658050357196,1191.0,2438.0
TOM50D,8,1482.5,353.0540225760682,1122.0,2203.0
EZY8258,8,1144.125,90.48510137823008,1039.0,1317.0
EZY8264,8,1138.25,86.26164517658718,1043.0,1306.0
EFW5AL,8,1404.75,511.6795174437106,1013.0,2584.0
TOM025,7,1459.7142857142858,248.61463773325593,1277.0,1987.0
TOM207,7,1154.4285714285713,104.3932583117913,1009.0,1291.0
TOM1VG,7,1591.7142857142858,548.2358720738468,890.0,2582.0
TOM045,7,1745.142857142857,331.2211892232684,1159.0,2276.0
TOM049,7,1566.142857142857,386.75807622312107,933.0,2030.0
TOM1DT,7,1387.5714285714287,271.3999859634344,1020.0,1878.0
TOM16Y,7,1578.2857142857142,274.82643873647135,1194.0,1880.0
EZY13BP,7,1218.0,145.1665709911663,1044.0,1439.0
TUA423,7,1834.5714285714287,303.0785690998607,1250.0,2089.0
EZY15YV,7,1258.857142857143,158.00889064799335,997.0,1409.0
EJU6717,7,1502.0,205.33062768780178,1271.0,1781.0
EJU47FL,7,1578.0,471.8658001310684,1169.0,2582.0
EFW3UL,7,1483.142857142857,316.84876969485435,1082.0,2095.0
EFW55C,7,1804.4285714285713,433.4285243431559,1127.0,2292.0
EZY13HZ,7,1179.7142857142858,151.12325464745027,992.0,1458.0
TOM22M,7,1347.4285714285713,251.50669781860498,1042.0,1709.0
TOM273,7,1425.2857142857142,232.3077802440219,1161.0,1841.0
TOM39B,7,1557.857142857143,284.21202682236407,1175.0,1925.0
EZY64UK,7,1772.5714285714287,334.5598387647354,1409.0,2174.0
TOM90T,7,1162.4285714285713,105.02992770770487,1053.0,1336.0
TOM3CJ,7,1639.4285714285713,408.1212471569599,1259.0,2382.0
EZY6548,7,1414.7142857142858,222.51495401861143,1065.0,1681.0
TOM8CE,7,1453.2857142857142,593.4390489021638,1056.0,2677.0
EZY69AK,7,1130.0,130.63179806871935,970.0,1329.0
TOM423,7,1171.2857142857142,150.1851238590941,1001.0,1483.0
EZY69DL,7,1420.7142857142858,454.0244906337521,1060.0,2381.0
TOM627,7,1162.857142857143,117.57186252306656,975.0,1335.0
TOM6GY,7,1092.142857142857,72.13974533599949,1031.0,1239.0
TOM441,7,1097.5714285714287,86.57724324335493,994.0,1218.0
TOM459,7,1092.7142857142858,100.61596010858031,987.0,1277.0
EZY25MX,7,1243.0,201.78536451718523,1031.0,1568.0
TOM4AX,7,1196.142857142857,70.08905899265727,1068.0,1275.0
TOM597,7,1397.2857142857142,196.67546388718165,1161.0,1671.0
TOM82H,7,1288.5714285714287,236.77475734183682,993.0,1756.0
TOM7XJ,7,1218.4285714285713,213.58515643091647,990.0,1545.0
TOM7PN,7,1331.857142857143,236.6702548353078,1058.0,1692.0
TOM501,7,1190.4285714285713,119.10199710452264,1099.0,1447.0
BGH5551,7,1754.5714285714287,326.0781384591006,1369.0,2225.0
TOM56E,7,1553.7142857142858,573.1235219641325,1061.0,2650.0
TOM8VL,7,1692.0,238.4386713601634,1350.0,2009.0
TOM71T,7,1633.5714285714287,356.68840610204734,1310.0,2316.0
TOM321,7,1542.7142857142858,344.80850448024734,1154.0,1967.0
EZY46AN,7,1785.5714285714287,612.0105819190976,1148.0,2757.0
EZY34KL,7,1202.0,118.07483502705676,1039.0,1386.0
TOM69B,7,1897.5714285714287,235.07364600826494,1685.0,2365.0
EZY8689,7,1896.2857142857142,383.4760810818646,1457.0,2601.0
TOM9VG,7,1475.857142857143,527.8047077507073,1087.0,2567.0
TOM91H,7,1673.7142857142858,499.46662026796616,1171.0,2568.0
BA925,7,1894.857142857143,257.2420575848284,1470.0,2235.0
CXI83GV,7,1442.857142857143,307.6298796559639,1074.0,1905.0
EZY39XA,7,1391.7142857142858,111.93705714331051,1195.0,1558.0
EZY47EK,7,1226.2857142857142,128.41691774024463,1069.0,1440.0
NSZ3811,7,1711.2857142857142,428.5011529683883,1034.0,2113.0
TOM97A,7,1079.2857142857142,112.40657496444811,981.0,1304.0
TOM9AE,7,1105.7142857142858,58.820955125743765,1041.0,1197.0
TOM64H,7,1097.0,73.30984472315663,984.0,1182.0
EZY54QK,7,1652.4285714285713,253.2902532292792,1349.0,2005.0
EFW5RS,6,1272.6666666666667,95.49589869029279,1187.0,1447.0
EZY8612,6,1470.8333333333333,315.33817825735383,1182.0,2025.0
TOM64Y,6,1097.6666666666667,102.21089309201179,988.0,1251.0
EZY9001,6,2118.6666666666665,563.036647711911,1393.0,2841.0
TOM1WA,6,1190.8333333333333,230.54233161540347,1011.0,1593.0
TOM593,6,1214.3333333333333,242.11622553366112,998.0,1639.0
TOM1WY,6,1261.8333333333333,317.5023884424598,1050.0,1900.0
TOM6DK,6,1187.1666666666667,144.35292399763387,970.0,1375.0
TOM6PG,6,1127.8333333333333,57.884079561367045,1053.0,1177.0
TOM7BX,6,1148.8333333333333,125.66847920885598,993.0,1358.0
TOM4617,6,1107.5,88.72372850596395,1029.0,1251.0
TOM87C,6,1516.5,280.00553565956517,1235.0,1990.0
TOM86Y,6,1177.6666666666667,187.26202676107792,828.0,1338.0
NSZ90U,6,1487.0,220.5456868768918,1143.0,1693.0
TOM5311,6,1443.3333333333333,195.38850187937533,1149.0,1678.0
TOM7XB,6,1181.0,110.48076755707305,1043.0,1367.0
EZY16XV,6,1178.3333333333333,147.36847243106874,1054.0,1379.0
TOM31B,6,1591.3333333333333,239.20089186009875,1267.0,1807.0
TOM46A,6,1189.1666666666667,107.25001942501768,1074.0,1374.0
TOM5329,6,1689.5,317.8041849944711,1375.0,2113.0
TOM437,6,1144.6666666666667,112.53029221799194,1000.0,1286.0
TOM8DA,6,1627.5,323.0701162286602,1314.0,2142.0
EZY6308,6,1638.0,406.78249716525414,1154.0,2329.0
TOM2NE,5,1151.8,77.65758172902373,1035.0,1243.0
WUK5VT,5,1060.8,139.78447696364574,839.0,1170.0
TOM2GA,5,1182.2,51.60620117776545,1125.0,1252.0
TOM7CK,5,1142.0,128.05662809866578,1041.0,1326.0
TOM6KE,5,1124.2,180.94391396231043,833.0,1326.0
TOM6KX,5,1312.2,272.9380882178228,1090.0,1703.0
TOM4AM,5,1085.2,36.64287106655264,1033.0,1133.0
TOM4DL,5,1065.2,72.24749130592704,943.0,1130.0
TOM6TJ,5,1141.0,74.45468420455492,1071.0,1238.0
TSC492,5,1337.4,169.78309692074768,1150.0,1606.0
